site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,flow,flow_dt,flow_unit,flow_nday,class,percentile,percent_median,percent_mean
01674500,"MATTAPONI RIVER NEAR BEULAHVILLE, VA",37.8839,-77.1653,02080105,2601.43,2019-02-28,cfs,7,7,93.52,358.54,270.97
02011400,"JACKSON RIVER NEAR BACOVA, VA",38.0423,-79.8814,02080201,1078.29,2019-02-28,cfs,7,7,94.85,540.69,384.05
02011460,"BACK CREEK NEAR SUNRISE, VA",38.2454,-79.7687,02080201,413,2019-02-28,cfs,7,6,89.67,342.09,248.42
02011470,"BACK CREEK AT SUNRISE, VA",38.1904,-79.8117,02080201,501.14,2019-02-28,cfs,7,7,90.48,375.02,256.47
02011490,"LITTLE BACK CREEK NEAR SUNRISE, VA",38.2146,-79.8376,02080201,25.62,2019-02-28,cfs,7,7,96.73,417.26,322.67
02011500,"BACK CREEK NEAR MOUNTAIN GROVE, VA",38.0696,-79.897,02080201,1050,2019-02-28,cfs,5,7,94.15,437.24,328.44
02011800,"JACKSON RIVER BL GATHRIGHT DAM NR HOT SP",37.9485,-79.9492,02080201,3068.57,2019-02-28,cfs,7,7,96.91,618.3,444.48
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",37.8029,-80.047,02080201,1479.71,2019-02-28,cfs,7,7,96.39,714.35,446.02
02013100,"JACKSON RIVER BL DUNLAP CREEK AT COVINGT",37.7887,-80.0006,02080201,5818.57,2019-02-28,cfs,7,7,96.8,584.99,469.41
02014000,"POTTS CREEK NEAR COVINGTON, VA",37.729,-80.0423,02080201,1909,2019-02-28,cfs,7,8,98.77,837.28,604.75
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",38.1954,-79.5703,02080201,788.71,2019-02-28,cfs,7,7,95.54,457.78,313.13
02016000,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",37.7918,-79.7595,02080201,4061.43,2019-02-28,cfs,7,7,97.54,603.8,426.2
02016500,"JAMES RIVER AT LICK RUN, VA",37.7737,-79.7845,02080201,12850,2019-02-28,cfs,7,7,96.71,576.23,434.36
02017500,"JOHNS CREEK AT NEW CASTLE, VA",37.5062,-80.1067,02080201,1303.57,2019-02-28,cfs,7,7,98.58,752.9,539.02
02018000,"CRAIG CREEK AT PARR, VA",37.666,-79.9114,02080201,4017.14,2019-02-28,cfs,7,7,98.61,782.85,567.25
02018500,"CATAWBA CREEK NEAR CATAWBA, VA",37.4682,-80.0053,02080201,376.71,2019-02-28,cfs,7,8,97.73,829.21,557.1
02019500,"JAMES RIVER AT BUCHANAN, VA",37.5307,-79.6789,02080201,21328.6,2019-02-28,cfs,7,7,96.71,658.14,474.46
02020500,"CALFPASTURE RIVER ABOVE MILL CREEK AT GO",37.9879,-79.4937,02080202,1078.43,2019-02-28,cfs,7,7,96.07,539.22,368.87
02021500,"MAURY RIVER AT ROCKBRIDGE BATHS, VA",37.9074,-79.422,02080202,2783.86,2019-02-28,cfs,7,7,97.15,576.54,411.15
02022500,"KERRS CREEK NEAR LEXINGTON, VA",37.8257,-79.4431,02080202,280.16,2019-02-28,cfs,7,7,97.02,711.97,495.33
02024000,"MAURY RIVER NEAR BUENA VISTA, VA",37.7626,-79.3914,02080202,5374.29,2019-02-28,cfs,7,7,98.45,640.78,474.26
02024752,"JAMES RIVER AT BLUE RIDGE PKWY NR BIG IS",37.5554,-79.3673,02080203,26885.7,2019-02-28,cfs,7,0,92.31,1213.8,534.33
02024915,"PEDLAR RIVER AT FOREST ROAD NEAR BUENA V",37.6975,-79.2783,02080203,283,2019-02-28,cfs,7,0,93.75,712.13,504.28
02025500,"JAMES RIVER AT HOLCOMB ROCK, VA",37.5013,-79.2625,02080203,29657.1,2019-02-28,cfs,7,8,97.44,621.84,481.35
02025652,"HARRIS CREEK BELOW ROUTE 130 NEAR MONROE",37.4853,-79.1667,02080203,226.14,2019-02-28,cfs,7,0,85.71,677.47,524.57
02026000,"JAMES RIVER AT BENT CREEK, VA",37.5363,-78.8295,02080203,33271.4,2019-02-28,cfs,7,8,97.44,605.72,479.44
02027000,"TYE RIVER NEAR LOVINGSTON, VA",37.7154,-78.9817,02080203,795.14,2019-02-28,cfs,7,7,96.88,444.91,349.77
02027500,"PINEY RIVER AT PINEY RIVER, VA",37.7024,-79.0275,02080203,482.43,2019-02-28,cfs,7,7,97.29,473.62,359.86
02028500,"ROCKFISH RIVER NEAR GREENFIELD, VA",37.8696,-78.8234,02080203,659,2019-02-28,cfs,7,7,96.46,420.52,323.13
02029000,"JAMES RIVER AT SCOTTSVILLE, VA",37.7974,-78.4914,02080203,40885.7,2019-02-28,cfs,7,7,97.32,605.84,476.92
02030000,"HARDWARE RIVER BL BRIERY RUN NR SCOTTSVI",37.8126,-78.4553,02080203,665.86,2019-02-28,cfs,7,7,96.11,458.11,349.29
02030500,"SLATE RIVER NEAR ARVONIA, VA",37.7029,-78.3775,02080203,1236.71,2019-02-28,cfs,7,7,95.43,470.23,352.88
02031000,"MECHUMS RIVER NEAR WHITE HALL, VA",38.1026,-78.5928,02080204,441.86,2019-02-28,cfs,7,7,95.4,415.28,313.13
02032250,"MOORMANS RIVER NEAR FREE UNION, VA",38.1407,-78.5558,02080204,490.86,2019-02-28,cfs,7,8,96.88,526.84,364.57
02032640,"N F RIVANNA RIVER NEAR EARLYSVILLE, VA",38.1635,-78.4247,02080204,473,2019-02-28,cfs,7,0,86.99,459.4,245.82
02034000,"RIVANNA RIVER AT PALMYRA, VA",37.8579,-78.2658,02080204,3225.71,2019-02-28,cfs,7,7,95.14,417.14,292.47
02035000,"JAMES RIVER AT CARTERSVILLE, VA",37.671,-78.0858,02080205,50614.3,2019-02-28,cfs,7,7,98.16,525.36,429.87
02036500,"FINE CREEK AT FINE CREEK MILLS, VA",37.5979,-77.8197,02080205,87.04,2019-02-28,cfs,7,7,95.1,408.83,257.82
02037000,"JAMES RIVER AND KANAWHA CANAL NEAR RICHM",37.5646,-77.5742,02080205,0,2019-02-28,cfs,7,2,,,
02037500,"JAMES RIVER NEAR RICHMOND, VA",37.5632,-77.5469,02080205,53300,2019-02-28,cfs,7,7,97.61,613.75,459.94
02038850,"HOLIDAY CREEK NEAR ANDERSONVILLE, VA",37.4154,-78.6358,02080207,48.32,2019-02-28,cfs,6,7,95.25,550.97,365.51
02039000,"BUFFALO CREEK NEAR HAMPDEN SYDNEY, VA",37.2571,-78.4864,02080207,304.86,2019-02-28,cfs,7,7,95.1,445.51,295.09
02039500,"APPOMATTOX RIVER AT FARMVILLE, VA",37.3071,-78.3886,02080207,1533.43,2019-02-28,cfs,7,7,95.45,491.26,344.19
02040000,"APPOMATTOX RIVER AT MATTOAX, VA",37.4215,-77.8589,02080207,3467.14,2019-02-28,cfs,7,7,95.16,451.96,305.36
02040892,"APPOMATTOX RIVER AT ROUTE 602 NEAR MANNB",37.3181,-77.8017,02080207,4590,2019-02-28,cfs,7,0,85.71,358.35,310.93
02041000,"DEEP CREEK NEAR MANNBORO, VA",37.2832,-77.8697,02080207,677.57,2019-02-28,cfs,7,7,94.4,418.25,261.48
02041650,"APPOMATTOX RIVER AT MATOACA, VA",37.2252,-77.4753,02080207,6064.29,2019-02-28,cfs,7,7,93.17,483.76,276.37
02042500,"CHICKAHOMINY RIVER NEAR PROVIDENCE FORGE",37.4363,-77.0608,02080206,1157.43,2019-02-28,cfs,7,7,95.19,332.05,259.03
02044500,"NOTTOWAY RIVER NEAR RAWLINGS, VA",36.9835,-77.7997,03010201,1529.57,2019-02-28,cfs,7,7,95.33,414.04,300.89
02045500,"NOTTOWAY RIVER NEAR STONY CREEK, VA",36.9002,-77.3997,03010201,3207.14,2019-02-28,cfs,7,7,95.76,441.15,353.1
02046000,"STONY CREEK NEAR DINWIDDIE, VA",37.0671,-77.6025,03010201,512.86,2019-02-28,cfs,7,7,95.05,363.73,253.97
02047000,"NOTTOWAY RIVER NEAR SEBRELL, VA",36.7704,-77.1661,03010201,7494.29,2019-02-28,cfs,7,8,98.7,364.43,314.51
02047500,"BLACKWATER RIVER NEAR DENDRON, VA",37.0252,-76.8747,03010202,1650,2019-02-28,cfs,7,7,96.14,353.37,301.71
02047783,"BLACKWATER RIVER AT ROUTE 620 NEAR ZUNI,",36.9065,-76.82,03010202,2158.33,2019-02-28,cfs,6,0,75,271.98,264.24
02049500,"BLACKWATER RIVER NEAR FRANKLIN, VA",36.7626,-76.8983,03010202,3095.71,2019-02-28,cfs,7,8,98.65,303.84,270.29
02051000,"NORTH MEHERRIN RIVER NEAR LUNENBURG, VA",36.9974,-78.3497,03010204,245.06,2019-02-28,cfs,7,7,95.08,456.86,281.29
02051190,"MEHERRIN RIVER AT RT 637 NEAR SOUTH HILL",36.7869,-78.1175,03010204,1332.29,2019-02-28,cfs,7,0,80,248.16,217.31
02051500,"MEHERRIN RIVER NEAR LAWRENCEVILLE, VA",36.7168,-77.8317,03010204,3085.57,2019-02-28,cfs,7,7,95.99,531.74,386.73
02052000,"MEHERRIN RIVER AT EMPORIA, VA",36.6902,-77.5405,03010204,4081.43,2019-02-28,cfs,7,7,95.27,488.63,337.91
02052090,"MEHERRIN RIVER NEAR BRYANTS CORNER, VA",36.57,-77.3614,03010204,4573.33,2019-02-28,cfs,6,0,83.33,477.95,442.46
02053200,"POTECASI CREEK NEAR UNION, NC",36.3708,-77.0256,03010204,1952.86,2019-02-28,cfs,7,8,98.33,648.49,430.7
02053500,"AHOSKIE CREEK AT AHOSKIE, NC",36.2803,-76.9994,03010203,544.14,2019-02-28,cfs,7,7,96.04,761.89,450.52
02053800,"S F ROANOKE RIVER NEAR SHAWSVILLE, VA",37.1401,-80.2664,03010101,925.43,2019-02-28,cfs,7,7,97.57,682.62,471.6
02054500,"ROANOKE RIVER AT LAFAYETTE, VA",37.2365,-80.2092,03010101,2145,2019-02-28,cfs,7,7,97.89,706.27,499.97
02054530,"ROANOKE RIVER AT GLENVAR, VA",37.2679,-80.1395,03010101,2786.71,2019-02-28,cfs,7,0,95.56,927.57,513.3
02055000,"ROANOKE RIVER AT ROANOKE, VA",37.2585,-79.9387,03010101,3161.43,2019-02-28,cfs,7,7,97.55,707.48,493.33
02055100,"TINKER CREEK NEAR DALEVILLE, VA",37.4176,-79.9353,03010101,101.59,2019-02-28,cfs,7,8,98.39,710.92,507.95
02056000,"ROANOKE RIVER AT NIAGARA, VA",37.2551,-79.8714,03010101,4891.43,2019-02-28,cfs,7,8,98.91,837.16,588.07
02056650,"BACK CREEK NEAR DUNDEE, VA",37.2276,-79.8681,03010101,391.14,2019-02-28,cfs,7,7,94.07,673.68,388.11
02056900,"BLACKWATER RIVER NEAR ROCKY MOUNT, VA",37.0451,-79.8442,03010101,738.57,2019-02-28,cfs,7,7,94.69,526.46,372.88
02058400,"PIGG RIVER NEAR SANDY LEVEL, VA",36.946,-79.5247,03010101,1779.14,2019-02-28,cfs,7,7,95.67,464.88,336.98
02059500,"GOOSE CREEK NEAR HUDDLESTON, VA",37.1732,-79.5203,03010101,1394.14,2019-02-28,cfs,7,7,97.3,767.23,543.35
02060500,"ROANOKE RIVER AT ALTAVISTA, VA",37.1046,-79.2953,03010101,11094.3,2019-02-28,cfs,7,7,96.5,631.79,432.54
02061500,"BIG OTTER RIVER NEAR EVINGTON, VA",37.2085,-79.3036,03010101,2050.29,2019-02-28,cfs,7,7,96.93,550.41,418.02
02062500,"ROANOKE (STAUNTON) RIVER AT BROOKNEAL, V",37.0394,-78.9457,03010102,17235.7,2019-02-28,cfs,7,7,96.57,738.82,477.97
02064000,"FALLING RIVER NEAR NARUNA, VA",37.1268,-78.9597,03010102,820,2019-02-28,cfs,7,7,95.57,540.26,350.13
02065500,"CUB CREEK AT PHENIX, VA",37.0793,-78.7636,03010102,436.43,2019-02-28,cfs,7,7,95.16,390.16,284.91
02066000,"ROANOKE (STAUNTON) RIVER AT RANDOLPH, VA",36.9151,-78.7408,03010102,19505.7,2019-02-28,cfs,7,7,96.26,657.71,443.09
02068500,"DAN RIVER NEAR FRANCISCO, NC",36.515,-80.3031,03010103,817.43,2019-02-28,cfs,7,7,98.38,411.51,363.29
02069000,"DAN RIVER AT PINE HALL, NC",36.3193,-80.05,03010103,3442.86,2019-02-28,cfs,7,0,94.12,567.06,421.24
02069700,"SOUTH MAYO RIVER NEAR NETTLERIDGE, VA",36.571,-80.1295,03010103,502.57,2019-02-28,cfs,7,7,97.74,434.86,328.58
02070000,"NORTH MAYO RIVER NEAR SPENCER, VA",36.5682,-79.9873,03010103,599.86,2019-02-28,cfs,7,7,97.01,507.15,373.58
02070500,"MAYO RIVER NEAR PRICE, NC",36.5339,-79.9914,03010103,1621,2019-02-28,cfs,7,8,98.51,521.94,433.62
02071000,"DAN RIVER NEAR WENTWORTH, NC",36.4125,-79.8261,03010103,7718.57,2019-02-28,cfs,7,7,97.89,660.11,483.2
02071530,"SMITH RIVER AT SMITH RIV CHURCH NR WOOLW",36.7785,-80.2492,03010103,166.43,2019-02-28,cfs,7,0,93.57,381.11,290.4
02072000,"SMITH RIVER NEAR PHILPOTT, VA",36.7807,-80.0248,03010103,1159.43,2019-02-28,cfs,7,8,98.53,526.68,406.83
02072500,"SMITH RIVER AT BASSETT, VA",36.7701,-80.0009,03010103,1443.71,2019-02-28,cfs,7,8,98.53,518.52,399.04
02073000,"SMITH RIVER AT MARTINSVILLE, VA",36.6612,-79.8806,03010103,2062.86,2019-02-28,cfs,7,8,98.53,517.38,378.62
02074000,"SMITH RIVER AT EDEN, NC",36.5256,-79.7656,03010103,2988.57,2019-02-28,cfs,7,7,97.75,477.41,378.78
02074500,"SANDY RIVER NEAR DANVILLE, VA",36.6196,-79.5042,03010103,673.57,2019-02-28,cfs,7,7,96.27,673.57,454.22
02075045,"DAN RIVER AT STP NEAR DANVILLE, VA",36.5626,-79.3697,03010104,15515.7,2019-02-28,cfs,7,0,95.65,820.01,589.23
02075500,"DAN RIVER AT PACES, VA",36.6424,-79.0895,03010104,19462.9,2019-02-28,cfs,7,7,98.09,660.08,501.33
02076000,"DAN RIVER AT SOUTH BOSTON, VA",36.6932,-78.9004,03010104,20077.1,2019-02-28,cfs,7,0,66.67,366.23,366.23
02077000,"BANISTER RIVER AT HALIFAX, VA",36.7765,-78.9158,03010105,2987.14,2019-02-28,cfs,7,7,95.93,542.83,389.05
02077200,"HYCO CREEK NEAR LEASBURG, NC",36.3978,-79.1967,03010104,461.77,2019-02-28,cfs,7,7,95.33,1037.69,517.04
02077303,"HYCO R BL ABAY D NR MCGEHEES MILL, NC",36.5225,-78.9975,03010104,,,,,0,,,
02077670,"MAYO CR NR BETHEL HILL, NC",36.5408,-78.8719,03010104,490.71,2019-02-28,cfs,7,7,96.71,1301.96,663.3
02079640,"ALLEN CREEK NEAR BOYDTON, VA",36.6796,-78.3267,03010106,277.4,2019-02-28,cfs,7,7,92.98,564.39,321.4
02080500,"ROANOKE RIVER AT ROANOKE RAPIDS, NC",36.46,-77.6336,03010107,26142.9,2019-02-28,cfs,7,7,96.21,335.78,263.06
02081500,"TAR RIVER NEAR TAR RIVER, NC",36.1942,-78.5831,03020101,1637.57,2019-02-28,cfs,7,7,96.22,896.27,557.26
02081747,"TAR R AT US 401 AT LOUISBURG, NC",36.0931,-78.2961,03020101,4111.43,2019-02-28,cfs,7,7,96.61,993.43,585.03
02081942,"TAR RIVER AT NC-581 NEAR SPRING HOPE, NC",35.8821,-78.0895,03020101,5294.29,2019-02-28,cfs,7,0,85.71,645.7,589.07
02082585,"TAR RIVER AT NC 97 AT ROCKY MOUNT, NC",35.9547,-77.7872,03020101,7070,2019-02-28,cfs,7,8,97.67,700.74,459.77
02082770,"SWIFT CREEK AT HILLIARDSTON, NC",36.1122,-77.92,03020101,1418.57,2019-02-28,cfs,7,7,97.87,758.03,542.47
02082950,"LITTLE FISHING CREEK NEAR WHITE OAK, NC",36.1833,-77.8761,03020102,1566.43,2019-02-28,cfs,7,7,97.25,764.67,554
02083000,"FISHING CREEK NEAR ENFIELD, NC",36.1506,-77.6931,03020102,4261.43,2019-02-28,cfs,7,7,98.87,690.99,521.42
02083500,"TAR RIVER AT TARBORO, NC",35.8944,-77.5331,03020103,12172.9,2019-02-28,cfs,7,7,96.55,376.78,298.39
02084000,"TAR RIVER AT GREENVILLE, NC",35.6167,-77.3728,03020103,13485,2019-02-28,cfs,6,0,95.24,513.02,405.09
02084160,"CHICOD CR AT SR1760 NEAR SIMPSON, NC",35.5617,-77.2308,03020103,124.44,2019-02-28,cfs,7,6,87.02,258.5,176.31
02084557,"VAN SWAMP NEAR HOKE, NC",35.7308,-76.7461,03020104,90.81,2019-02-28,cfs,7,6,89.51,222.68,202.34
02085000,"ENO RIVER AT HILLSBOROUGH, NC",36.0711,-79.0956,03020201,678.43,2019-02-28,cfs,7,8,98.7,961.36,699.99
02085070,"ENO RIVER NEAR DURHAM, NC",36.0722,-78.9078,03020201,1199,2019-02-28,cfs,7,7,96.24,858.21,528.31
02085500,"FLAT RIVER AT BAHAMA, NC",36.1828,-78.8789,03020201,,,,,0,,,
02086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC",36.1486,-78.8289,03020201,1608.86,2019-02-28,cfs,7,8,98.46,775.92,563.54
02086624,"KNAP OF REEDS CREEK NEAR BUTNER, NC",36.1279,-78.7983,03020201,254.2,2019-02-28,cfs,7,0,88.49,599.1,324.9
02086849,"ELLERBE CREEK NEAR GORMAN, NC",36.0593,-78.8325,03020201,,,,,0,,,
02087183,"NEUSE RIVER NEAR FALLS, NC",35.94,-78.5808,03020201,3280,2019-02-28,cfs,7,7,92.89,410.81,263.09
02087275,"CRABTREE CREEK AT HWY 70 AT RALEIGH, NC",35.8381,-78.6742,03020201,689.29,2019-02-28,cfs,7,0,94.81,721.24,434.39
02087324,"CRABTREE CREEK AT US 1 AT RALEIGH, NC",35.8111,-78.6108,03020201,743.86,2019-02-28,cfs,7,0,95.61,610.22,417.83
02087359,"WALNUT CREEK AT SUNNYBROOK DRIVE NR RALE",35.7583,-78.5831,03020201,124.21,2019-02-28,cfs,7,0,89.92,484.63,307.83
02087500,"NEUSE RIVER NEAR CLAYTON, NC",35.6472,-78.4053,03020201,,,,,0,,,
02087580,"SWIFT CREEK NEAR APEX, NC",35.7189,-78.7522,03020201,94.63,2019-02-28,cfs,7,0,85.7,512.07,259.69
02088000,"MIDDLE CREEK NEAR CLAYTON, NC",35.5708,-78.5906,03020201,423.29,2019-02-28,cfs,7,7,95.21,318.6,269.03
02088383,"LITTLE RIVER NEAR ZEBULON, NC",35.8219,-78.3522,03020201,314.86,2019-02-28,cfs,7,0,90,536.75,419.48
02088500,"LITTLE RIVER NEAR PRINCETON, NC",35.5114,-78.1603,03020201,1212.29,2019-02-28,cfs,7,7,94.68,326.14,263.23
02089000,"NEUSE RIVER NEAR GOLDSBORO, NC",35.3375,-77.9975,03020202,7964.29,2019-02-28,cfs,7,7,90.95,243.61,201.21
02089500,"NEUSE RIVER AT KINSTON, NC",35.2578,-77.5856,03020202,6847.14,2019-02-28,cfs,7,6,80.61,188.15,158.42
02090380,"CONTENTNEA CREEK NEAR LUCAMA, NC",35.6911,-78.1097,03020203,903.29,2019-02-28,cfs,7,7,95.19,410.33,317.88
02091000,"NAHUNTA SWAMP NEAR SHINE, NC",35.4889,-77.8061,03020203,250,2019-02-28,cfs,7,6,88.47,234.26,187.8
02091500,"CONTENTNEA CREEK AT HOOKERTON, NC",35.4289,-77.5825,03020203,2462.86,2019-02-28,cfs,7,6,86.54,191.83,180.49
02091814,"NEUSE RIVER NEAR FORT BARNWELL, NC",35.3139,-77.3028,03020202,9955.71,2019-02-28,cfs,7,0,84.44,197.25,170.45
02092500,"TRENT RIVER NEAR TRENTON, NC",35.0642,-77.4614,03020204,315.86,2019-02-28,cfs,7,5,62.83,120.62,107.04
02093000,"NEW RIVER NEAR GUM BRANCH, NC",34.8492,-77.5194,03030001,140.86,2019-02-28,cfs,7,5,52.15,104.46,87.2
02093800,"REEDY FORK NEAR OAK RIDGE, NC",36.1725,-79.9528,03030002,136.73,2019-02-28,cfs,7,7,95.77,580.84,397.12
02093877,"BRUSH CREEK AT MUIRFIELD RD AT GREENSBOR",36.1281,-79.9239,03030002,41.64,2019-02-28,cfs,7,0,92.86,717.93,652.66
02094500,"REEDY FORK NEAR GIBSONVILLE, NC",36.1731,-79.6142,03030002,1370.29,2019-02-28,cfs,7,8,98.04,2413.33,940.1
02094659,"SOUTH BUFFALO CREEK NR POMONA, NC",36.0494,-79.8553,03030002,48.66,2019-02-28,cfs,7,0,93.49,491.02,395.61
02094770,"SOUTH BUFFALO CREEK AT US 220 AT GREENSB",36.0381,-79.7997,03030002,98.09,2019-02-28,cfs,7,0,95.24,706.7,458.36
02094775,"RYAN CREEK BELOW US 220 AT GREENSBORO, N",36.0311,-79.7961,03030002,35.5,2019-02-28,cfs,7,0,95.24,934.21,639.64
02095000,"SOUTH BUFFALO CR NEAR GREENSBORO, NC",36.06,-79.7258,03030002,258.87,2019-02-28,cfs,7,7,95.72,745.59,442.89
02095181,"N BUFFALO CR AT WESTOVER TERRACE AT GREE",36.0792,-79.8128,03030002,59.91,2019-02-28,cfs,7,0,95,637.34,452.83
02095271,"NORTH BUFFALO CREEK AT CHURCH ST AT GREE",36.0978,-79.7825,03030002,98.8,2019-02-28,cfs,7,0,95,662.64,435.24
02095500,"NORTH BUFFALO CREEK NEAR GREENSBORO, NC",36.1206,-79.7081,03030002,297.47,2019-02-28,cfs,7,7,95.34,615.12,360.39
02096500,"HAW RIVER AT HAW RIVER, NC",36.0872,-79.3661,03030002,5760,2019-02-28,cfs,7,7,97.38,899.4,603.11
02096846,"CANE CREEK NEAR ORANGE GROVE, NC",35.9872,-79.2061,03030002,111.77,2019-02-28,cfs,6,0,96.67,1556.69,1068.55
02096960,"HAW RIVER NEAR BYNUM, NC",35.7653,-79.1358,03030002,13032.9,2019-02-28,cfs,7,7,96.54,1116.92,590.51
02097280,"THIRD FORK CR AT WOODCROFT PARKWAY NR BL",35.9226,-78.9524,03030002,,,,,0,,,
02097314,"NEW HOPE CREEK NEAR BLANDS, NC",35.885,-78.9653,03030002,,,,,0,,,
02097464,"MORGAN CREEK NEAR WHITE CROSS, NC",35.9236,-79.115,03030002,68.9,2019-02-28,cfs,7,0,96.67,884.47,585.88
02097517,"MORGAN CREEK NEAR CHAPEL HILL, NC",35.8933,-79.0197,03030002,316.43,2019-02-28,cfs,7,8,97.3,696.68,455.62
02098206,"HAW RIVER NEAR MONCURE, NC",35.6322,-79.06,03030002,3605.71,2019-02-28,cfs,7,0,59.23,149.74,124.55
02099000,"EAST FORK DEEP RIVER NEAR HIGH POINT, NC",36.0372,-79.9456,03030003,111.59,2019-02-28,cfs,7,7,94.97,751.95,388.95
02100500,"DEEP RIVER AT RAMSEUR, NC",35.7264,-79.6556,03030003,3224.71,2019-02-28,cfs,7,7,96.51,882.44,516.21
02101726,"ROCKY R AT US 64 NEAR SILER CITY, NC",35.7351,-79.4231,03030003,615.71,2019-02-28,cfs,7,0,90,1016.69,607.45
02101800,"TICK CREEK NEAR MOUNT VERNON SPRINGS, NC",35.6597,-79.4017,03030003,100.81,2019-02-28,cfs,7,7,92.89,727.34,374.9
02102000,"DEEP RIVER AT MONCURE, NC",35.6269,-79.1161,03030003,11407.1,2019-02-28,cfs,7,7,96.04,648.55,437.22
02102192,"BUCKHORN CREEK NR CORINTH, NC",35.5597,-78.9736,03030004,342.57,2019-02-28,cfs,7,7,95.33,695.43,357.03
02102500,"CAPE FEAR RIVER AT LILLINGTON, NC",35.4061,-78.8133,03030004,16938.6,2019-02-28,cfs,7,7,95,417.21,299.49
02102908,"FLAT CREEK NEAR INVERNESS, NC",35.1828,-79.1775,03030004,22.56,2019-02-28,cfs,7,7,93.4,167.98,163.12
02103000,"LITTLE RIVER AT MANCHESTER, NC",35.1933,-78.9856,03030004,1246.86,2019-02-28,cfs,7,0,92.12,293.23,214.98
02104220,"ROCKFISH CREEK AT RAEFORD, NC",34.9997,-79.2147,03030004,253.57,2019-02-28,cfs,7,0,96.67,210.07,197.73
02105500,"CAPE FEAR R AT WILM O HUSKE LOCK NR TARH",34.8356,-78.8236,03030005,20228.6,2019-02-28,cfs,7,7,94.39,333.49,258.51
02105769,"CAPE FEAR R AT LOCK #1 NR KELLY, NC",34.4044,-78.2936,03030005,19271.4,2019-02-28,cfs,7,7,90.56,315.22,210.96
02106500,"BLACK RIVER NEAR TOMAHAWK, NC",34.755,-78.2886,03030006,1375.71,2019-02-28,cfs,7,5,62.02,120.78,107.03
02108000,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPI",34.8289,-77.8322,03030007,1250,2019-02-28,cfs,7,5,63.58,128.01,109.22
02109500,"WACCAMAW RIVER AT FREELAND, NC",34.095,-78.5483,03040206,395,2019-02-28,cfs,7,4,19.52,46.88,30.35
02110400,"BUCK CREEK NEAR LONGS, SC",33.9535,-78.7197,03040206,33.31,2019-02-28,cfs,7,0,51.48,139.02,38.67
02110500,"WACCAMAW RIVER NEAR LONGS, SC",33.9127,-78.715,03040206,652.86,2019-02-28,cfs,7,4,16.41,38.18,29.74
02110550,"WACCAMAW RIVER ABOVE CONWAY, SC",33.8508,-78.8972,03040206,761.6,2019-02-28,cfs,5,0,20,40.98,28.67
02110701,"CRABTREE SWAMP AT CONWAY, SC",33.861,-79.0411,03040206,11.21,2019-02-28,cfs,7,0,8.33,48.72,25.46
02110704,"WACCAMAW RIVER AT CONWAY MARINA AT CONWA",33.8329,-79.0436,03040206,884.86,2019-02-28,cfs,7,0,18.94,39.08,30.73
02111000,"YADKIN RIVER AT PATTERSON, NC",35.9908,-81.5583,03040101,204.71,2019-02-28,cfs,7,7,98.02,410.57,332.38
02111180,"ELK CREEK AT ELKVILLE, NC",36.0714,-81.4031,03040101,416.57,2019-02-28,cfs,7,7,96.92,454.57,351.77
02111500,"REDDIES RIVER AT NORTH WILKESBORO, NC",36.175,-81.1689,03040101,648.29,2019-02-28,cfs,7,8,98.73,459.06,391.81
02112000,"YADKIN RIVER AT WILKESBORO, NC",36.1525,-81.1456,03040101,2766.67,2019-02-28,cfs,6,7,97.41,339.94,293.83
02112250,"YADKIN RIVER AT ELKIN, NC",36.2404,-80.8492,03040101,5521.43,2019-02-28,cfs,7,8,98.18,420.52,351.46
02113850,"ARARAT RIVER AT ARARAT, NC",36.4044,-80.5617,03040101,1657.57,2019-02-28,cfs,7,8,98.18,529.08,429.44
02114450,"LITTLE YADKIN RIVER AT DALTON, NC",36.2992,-80.4147,03040101,397.57,2019-02-28,cfs,7,7,98.28,981.9,569.42
02115360,"YADKIN RIVER AT ENON, NC",36.1317,-80.4439,03040101,11187.1,2019-02-28,cfs,7,7,97.72,469.34,381.04
02116500,"YADKIN RIVER AT YADKIN COLLEGE, NC",35.8567,-80.3869,03040101,14838.3,2019-02-28,cfs,6,7,97.34,548.12,394.87
02118000,"SOUTH YADKIN RIVER NEAR MOCKSVILLE, NC",35.845,-80.6589,03040102,2286,2019-02-28,cfs,7,7,97.32,630.99,466.89
02118500,"HUNTING CREEK NEAR HARMONY, NC",36.0006,-80.7456,03040102,1147.86,2019-02-28,cfs,7,7,97.08,567.04,422.55
02120780,"SECOND CREEK NEAR BARBER, NC",35.7176,-80.5961,03040102,717.86,2019-02-28,cfs,7,8,97.44,591.9,451.31
02121500,"ABBOTTS CREEK AT LEXINGTON, NC",35.8069,-80.2347,03040103,1657.57,2019-02-28,cfs,7,0,96.67,845.1,553
02124080,"CLARKE CREEK NEAR HARRISBURG, NC",35.4142,-80.7519,03040105,248.44,2019-02-28,cfs,7,0,93.75,1484.11,952.97
